"","X","Y","NE_ID","LONGITUDE","LATITUDE","geometry","lon_diff","lat_diff"
"6473",117.2780683,31.8519772,1159149793,117.280014,31.850031,c(117.278068341288, 31.8519772093429),1,1
"6474",116.976943,33.638057,1159149795,116.978889,33.636111,c(116.976943041387, 33.638056958613),1,1
"6475",110.3780761,21.2019296,1159149797,110.380022,21.199984,c(110.37807607238, 21.2019296018782),1,1
"6484",105.2680521,-5.4280728,1159149817,105.269998,-5.430019,c(105.268052065198, -5.42807283963452),1,1
"6486",112.6080692,-7.9780464,1159149821,112.610015,-7.979992,c(112.608069155071, -7.97804639107687),1,1
"6496",-74.8019127,10.9619345,1159149845,-74.799967,10.959989,c(-74.8019127385819, 10.9619344846499),1,1
"6518",113.0980651,29.3819988,1159149893,113.100011,29.380053,c(113.098065086063, 29.3819987750881),1,1
"6519",112.5880704,26.8819705,1159149895,112.590016,26.880025,c(112.588070375775, 26.8819704954558),1,1
"6520",104.7680309,31.4719229,1159149899,104.769977,31.469977,c(104.768030906342, 31.4719228880521),1,1
"6524",114.4780325,38.0519605,1159149907,114.479978,38.050015,c(114.478032533985, 38.0519605264248),1,1
"6525",114.4780325,36.5819211,1159149909,114.479978,36.579975,c(114.478032533985, 36.581921057018),1,1
"6526",122.9380846,41.1169672,1159149911,122.94003,41.115021,c(122.938084617352, 41.1169672403042),1,1
"6527",121.627885,38.9247843,1159149913,121.629831,38.922838,c(121.627884979006, 38.9247842518157),1,1
"6528",120.3280631,36.0919251,1159149917,120.330009,36.089979,c(120.328063051587, 36.0919251260264),1,1
"6529",118.3280301,35.0819351,1159149919,118.329976,35.079989,c(118.328030092594, 35.0819350950979),1,1
"6530",119.028039,33.5819491,1159149921,119.029985,33.580003,c(119.02803904442, 33.5819491331777),1,1
"6531",120.6481469,28.0219268,1159149923,120.650093,28.019981,c(120.648146873202, 28.0219267535983),1,1
"6532",121.5480919,29.8819166,1159149925,121.550038,29.879971,c(121.548091941566, 29.8819165810796),1,1
"6533",130.4080679,33.5969611,1159149927,130.410014,33.595015,c(130.40806793444, 33.5969611367586),1,1
"6538",122.268048,43.6219048,1159149939,122.269994,43.619959,c(122.268047996256, 43.6219047810043),1,1
"6539",111.6580496,40.8219207,1159149941,111.659995,40.819975,c(111.658049623818, 40.8219206501338),1,1
"6540",118.9480439,42.2719613,1159149943,118.94999,42.270015,c(118.948043927232, 42.271961340244),1,1
"6543",130.3480716,46.8319672,1159149949,130.350017,46.830021,c(130.348071596549, 46.8319672403273),1,1
"6545",124.9980622,46.581905,1159149955,125.000008,46.579959,c(124.998062237803, 46.5819049844668),1,1
"6546",130.9680854,45.3019056,1159149957,130.970031,45.29996,c(130.968085431187, 45.3019055948132),1,1
"6547",136.9130456,35.1569434,1159149959,136.914991,35.154998,c(136.913045554908, 35.1569434365694),1,1
